game:home-finance,Home Finance,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:home-finance:sinclair-research
game:iron-heroes,Iron Heroes                                                    @,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:iron-heroes:monolith-beyond
game:iron-horse,Iron Horse,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:iron-horse:konami
game:iron-lord,Iron Lord,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:iron-lord:ubisoft
game:iron-soldier,Iron Soldier,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:iron-soldier:players-premier
game:ironman-stewarts-super-off-road-racer,Ironman Stewart's Super Off-Road Racer                         @,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:ironman-stewarts-super-off-road-racer:virgin-games
game:is-a-machine-code-arcade-game,is a machine code arcade game,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,Sinclair User,https://sinclairuser.com/043/index.htm,,,Confirmed from contemporary magazine evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Contents metadata only; the program listing is not stored.,Generated from data/curated/games.jsonl. Source IDs: source-item:sinclair-user-typein:043:is-a-machine-code-arcade-game
game:is-compiler,IS Compiler,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:is-compiler:softek-software
game:island-the,"Island, The",,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:island-the:crystal-computing
game:islets-of-langerhans,Islets of Langerhans,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:islets-of-langerhans:amazing-games
game:isolation,Isolation,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:isolation:james-shaw
game:isotopes,Isotopes,,ZX Spectrum,Aug'85,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:isotopes:john-pitcher
game:its-a-knockout,It's a Knockout,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:its-a-knockout:ocean-software
game:its-a-myth-tery,It's a Myth-tery,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:its-a-myth-tery:mythsoft
game:its-only-rocknroll-tomb-of-dracula,It's Only Rock'n'Roll + Tomb of Dracula,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:its-only-rocknroll-tomb-of-dracula:k-tel-international
game:its-the-wooluf,It's the Wooluf!,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:its-the-wooluf:crystal-computing
game:its-tv-showtime,It's TV Showtime,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:its-tv-showtime:domark
game:italian-super-car,Italian Super Car,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:italian-super-car:code-masters
game:italy-1990,Italy 1990,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:italy-1990:us-gold
game:ivan-ironman-stewarts-super-off-road,"Ivan ""Ironman"" Stewart's Super Off-Road",,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:ivan-ironman-stewarts-super-off-road:virgin-games
game:iwo-jima,Iwo Jima,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:iwo-jima:pss-personal-software-services
game:j7-joystick-and-interface,J7 joystick & interface,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:j7-joystick-and-interface:flight-link-control
game:jack-and-the-beanstalk,Jack and the Beanstalk,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jack-and-the-beanstalk:river-software
game:jack-and-the-pirates,Jack and the Pirates,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jack-and-the-pirates:turtle-software
game:jack-attack,JACK ATTACK,,Acorn Electron,,,Bug-Byte,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,Stairway To Hell,https://www.stairwaytohell.com/electron/j.html,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Catalogue metadata only; software and images are not copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-j-html:jack-attack:bug-byte
game:jack-charltons-match-fishing,Jack Charlton's Match Fishing,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jack-charltons-match-fishing:alligata-software
game:jack-in-crazyland,Jack in Crazyland,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jack-in-crazyland:turtle-software
game:jack-in-magicland,Jack in Magicland,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jack-in-magicland:turtle-software
game:jack-the-nipper,Jack the Nipper,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jack-the-nipper:gremlin-graphics-software
game:jack-the-nipper-2-coconut-capers,Jack the Nipper 2 - Coconut Capers,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jack-the-nipper-2-coconut-capers:gremlin-graphics-software
game:jack-the-ripper,Jack the Ripper,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jack-the-ripper:crl-computer-rentals-ltd
game:jackal,Jackal,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jackal:konami
game:jackle-and-wide,Jackle and Wide,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jackle-and-wide:bulldog-software-mastertronic
game:jackpot,Jackpot,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jackpot:crl-computer-rentals-ltd
game:jade-necklace-the,"Jade Necklace, The",,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jade-necklace-the:marlin-games
game:jade-stone-the,"Jade Stone, The",,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jade-stone-the:marlin-games
game:jahangir-khans-world-championship-squash,Jahangir Khan's World Championship Squash,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jahangir-khans-world-championship-squash:krisalis-software
game:jail-break,Jail Break,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jail-break:konami
game:james-bond-007-collection,James Bond 007 Collection,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:james-bond-007-collection:domark
game:james-pond-codename-robocod,James Pond - Codename Robocod,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:james-pond-codename-robocod:us-gold
game:jasons-gem,Jason's Gem,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jasons-gem:mastertronic
game:jasper,Jasper,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jasper:micromega
game:jaws,Jaws,,ZX Spectrum,Mar'84,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jaws:mark-hubbuck
game:jaws-revenge,Jaws Revenge,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jaws-revenge:work-force
game:jawz,Jawz,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jawz:elfin-software
game:jennifers-dolly,Jennifer's Dolly,,ZX Spectrum,Nov'85,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jennifers-dolly:timothy-sneath
game:jericho-road,Jericho Road,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jericho-road:shards-software
game:jerico-2,Jerico 2,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jerico-2:elephant-software
game:jester-quest,Jester Quest,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jester-quest:nebula-designs-software
game:jesters-jaunt,Jester's Jaunt,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jesters-jaunt:zenobi-software
game:jet-bike-simulator,Jet Bike Simulator,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jet-bike-simulator:code-masters
game:jet-boot-jack,JET BOOT JACK,,Acorn Electron,,,English,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,Stairway To Hell,https://www.stairwaytohell.com/electron/j.html,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Catalogue metadata only; software and images are not copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-j-html:jet-boot-jack:english
game:jet-pac,Jet Pac,,ZX Spectrum / Sinclair family,,,,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,SPOT*On / GlobalNet,http://www.users.globalnet.co.uk/~jg27paw4/spot-on/spotdata.zip,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Plain index metadata only; no article text or listing copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:globalnet-spot:jet-pac:ultimate-play-the-game
game:jet-power-jack,JET POWER JACK,,Acorn Electron,,,Micropower,Local repository source record; do not infer development role from publisher/label,Unknown unless sourced,None captured at local credit-row level,Needs reviewed person-credit import / source-page review,Stairway To Hell,https://www.stairwaytohell.com/electron/j.html,,,Secondary database evidence,Auto-imported,repo-curated-jsonl-export-2026-06-21,Catalogue metadata only; software and images are not copied.,Generated from data/curated/games.jsonl. Source IDs: source-item:stairway-catalogue:https-www-stairwaytohell-com-electron-j-html:jet-power-jack:micropower
